waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.081665,0.081665,0.081665
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 16:56:16.52987,6.28E-01,-1.38E+00,8.80E-01
24/03/2020 16:56:16.61153,1.01E+00,-5.03E-01,2.51E-01
24/03/2020 16:56:16.69320,1.01E+00,-1.13E+00,1.01E+00
24/03/2020 16:56:16.77486,3.77E-01,-1.01E+00,5.03E-01
24/03/2020 16:56:16.85653,1.38E+00,3.77E-01,-5.03E-01
24/03/2020 16:56:16.93819,8.80E-01,-1.63E+00,2.14E+00
24/03/2020 16:56:17.01986,-3.77E-01,-2.39E+00,1.63E+00
24/03/2020 16:56:17.10153,1.63E+00,7.54E-01,-1.63E+00
24/03/2020 16:56:17.18319,2.01E+00,-1.26E-01,7.54E-01
24/03/2020 16:56:17.26486,-1.26E-01,-2.64E+00,2.64E+00
24/03/2020 16:56:17.34652,3.77E-01,-1.01E+00,-1.26E-01
24/03/2020 16:56:17.42819,2.14E+00,8.80E-01,-1.01E+00
24/03/2020 16:56:17.50985,1.01E+00,-1.38E+00,2.14E+00
24/03/2020 16:56:17.59152,-5.03E-01,-2.76E+00,2.01E+00
24/03/2020 16:56:17.67318,1.38E+00,2.51E-01,-1.51E+00
24/03/2020 16:56:17.75485,2.39E+00,5.03E-01,1.26E-01
24/03/2020 16:56:17.83651,1.26E-01,-2.76E+00,3.39E+00
24/03/2020 16:56:17.91818,-2.51E-01,-1.38E+00,-2.51E-01
24/03/2020 16:56:17.99984,2.51E+00,1.38E+00,-1.63E+00
24/03/2020 16:56:18.08151,1.26E+00,-1.51E+00,2.51E+00
24/03/2020 16:56:18.16317,-7.54E-01,-2.76E+00,1.88E+00
24/03/2020 16:56:18.24484,1.38E+00,5.03E-01,-1.76E+00
24/03/2020 16:56:18.32651,2.14E+00,3.77E-01,5.03E-01
24/03/2020 16:56:18.40817,-2.51E-01,-3.02E+00,2.76E+00
24/03/2020 16:56:18.48984,6.28E-01,-6.28E-01,-8.80E-01
24/03/2020 16:56:18.57150,2.64E+00,1.51E+00,-8.80E-01
24/03/2020 16:56:18.65317,5.03E-01,-2.89E+00,3.52E+00
24/03/2020 16:56:18.73483,-5.03E-01,-2.01E+00,7.54E-01
24/03/2020 16:56:18.81650,2.39E+00,1.63E+00,-2.14E+00
24/03/2020 16:56:18.89816,1.76E+00,-6.28E-01,1.51E+00
24/03/2020 16:56:18.97983,-6.28E-01,-3.02E+00,2.39E+00
24/03/2020 16:56:19.06149,1.26E+00,1.26E-01,-1.01E+00
24/03/2020 16:56:19.14316,1.88E+00,1.26E-01,5.03E-01
24/03/2020 16:56:19.22482,2.51E-01,-2.39E+00,2.26E+00
24/03/2020 16:56:19.30649,8.80E-01,-7.54E-01,-2.51E-01
24/03/2020 16:56:19.38816,1.88E+00,1.26E-01,1.26E-01
24/03/2020 16:56:19.46982,1.01E+00,-1.26E+00,1.38E+00
24/03/2020 16:56:19.55149,6.28E-01,-8.80E-01,6.28E-01
24/03/2020 16:56:19.63315,1.51E+00,-3.77E-01,2.51E-01
24/03/2020 16:56:19.71482,8.80E-01,-1.51E+00,1.63E+00
24/03/2020 16:56:19.79648,5.03E-01,-1.01E+00,3.77E-01
24/03/2020 16:56:19.87815,1.88E+00,7.54E-01,-5.03E-01
24/03/2020 16:56:19.95981,1.26E+00,-1.26E+00,1.51E+00
24/03/2020 16:56:20.04148,1.26E-01,-1.88E+00,1.51E+00
24/03/2020 16:56:20.12314,1.38E+00,-1.26E-01,-5.03E-01
24/03/2020 16:56:20.20481,1.88E+00,-1.26E-01,2.51E-01
24/03/2020 16:56:20.28647,7.54E-01,-1.76E+00,1.88E+00
24/03/2020 16:56:20.36814,6.28E-01,-1.13E+00,3.77E-01
24/03/2020 16:56:20.44981,1.63E+00,1.26E-01,-5.03E-01
24/03/2020 16:56:20.53147,1.26E+00,-1.01E+00,1.13E+00
24/03/2020 16:56:20.61314,3.77E-01,-1.76E+00,1.38E+00
24/03/2020 16:56:20.69480,1.13E+00,-5.03E-01,0.00E+00
24/03/2020 16:56:20.77647,1.63E+00,-3.77E-01,2.51E-01
24/03/2020 16:56:20.85813,8.80E-01,-1.38E+00,1.38E+00
24/03/2020 16:56:20.93980,7.54E-01,-1.26E+00,6.28E-01
24/03/2020 16:56:21.02146,1.51E+00,-1.26E-01,-1.26E-01
24/03/2020 16:56:21.10313,1.26E+00,-7.54E-01,8.80E-01
24/03/2020 16:56:21.18479,8.80E-01,-1.26E+00,1.26E+00
24/03/2020 16:56:21.26646,1.26E+00,-7.54E-01,1.26E-01
24/03/2020 16:56:21.34812,1.51E+00,-3.77E-01,3.77E-01
24/03/2020 16:56:21.42979,1.13E+00,-1.13E+00,1.01E+00
24/03/2020 16:56:21.51146,1.01E+00,-1.13E+00,8.80E-01
24/03/2020 16:56:21.59312,1.38E+00,-5.03E-01,2.51E-01
24/03/2020 16:56:21.67479,1.38E+00,-6.28E-01,7.54E-01
24/03/2020 16:56:21.75645,1.01E+00,-1.13E+00,1.01E+00
24/03/2020 16:56:21.83812,1.26E+00,-7.54E-01,5.03E-01
24/03/2020 16:56:21.91978,1.38E+00,-5.03E-01,3.77E-01
24/03/2020 16:56:22.00145,1.26E+00,-8.80E-01,8.80E-01
24/03/2020 16:56:22.08311,1.01E+00,-8.80E-01,6.28E-01
24/03/2020 16:56:22.16478,1.26E+00,-7.54E-01,3.77E-01
24/03/2020 16:56:22.24644,1.38E+00,-7.54E-01,6.28E-01
24/03/2020 16:56:22.32811,1.26E+00,-1.01E+00,8.80E-01
24/03/2020 16:56:22.40977,1.13E+00,-8.80E-01,5.03E-01
24/03/2020 16:56:22.49144,1.38E+00,-7.54E-01,5.03E-01
24/03/2020 16:56:22.57310,1.13E+00,-1.13E+00,7.54E-01
24/03/2020 16:56:22.65477,1.13E+00,-8.80E-01,7.54E-01
24/03/2020 16:56:22.73644,1.38E+00,-7.54E-01,5.03E-01
24/03/2020 16:56:22.81810,1.51E+00,-7.54E-01,5.03E-01
24/03/2020 16:56:22.89977,1.26E+00,-7.54E-01,7.54E-01
24/03/2020 16:56:22.98143,1.13E+00,-7.54E-01,6.28E-01
24/03/2020 16:56:23.06310,1.38E+00,-5.03E-01,3.77E-01
24/03/2020 16:56:23.14476,1.26E+00,-7.54E-01,7.54E-01
24/03/2020 16:56:23.22643,1.13E+00,-1.01E+00,6.28E-01
24/03/2020 16:56:23.30809,1.13E+00,-8.80E-01,5.03E-01
24/03/2020 16:56:23.38976,1.51E+00,-7.54E-01,7.54E-01
24/03/2020 16:56:23.47142,8.80E-01,-1.13E+00,1.51E+00
24/03/2020 16:56:23.55309,5.03E-01,-2.26E+00,2.64E+00
24/03/2020 16:56:23.63475,-3.77E-01,-3.52E+00,3.90E+00
24/03/2020 16:56:23.71642,-1.13E+00,-4.40E+00,4.90E+00
24/03/2020 16:56:23.79809,-2.01E+00,-6.28E+00,7.92E+00
