waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.082008,0.082008,0.082008
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
"07/04/2020 17:27:33,04191",3.52E+00,3.64E+00,-4.65E+00
"07/04/2020 17:27:33,12392",3.39E+00,3.52E+00,-4.52E+00
"07/04/2020 17:27:33,20593",3.39E+00,3.64E+00,-4.90E+00
"07/04/2020 17:27:33,28794",3.64E+00,3.90E+00,-4.90E+00
"07/04/2020 17:27:33,36994",3.52E+00,3.39E+00,-4.40E+00
"07/04/2020 17:27:33,45195",3.39E+00,3.64E+00,-4.78E+00
"07/04/2020 17:27:33,53396",3.64E+00,3.77E+00,-4.90E+00
"07/04/2020 17:27:33,61597",3.64E+00,3.77E+00,-4.78E+00
"07/04/2020 17:27:33,69797",3.39E+00,3.39E+00,-4.52E+00
"07/04/2020 17:27:33,77998",3.39E+00,3.64E+00,-4.78E+00
"07/04/2020 17:27:33,86199",3.64E+00,3.77E+00,-4.78E+00
"07/04/2020 17:27:33,94400",3.64E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:34,02601",3.39E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:34,10801",3.52E+00,3.90E+00,-4.90E+00
"07/04/2020 17:27:34,19002",3.52E+00,3.77E+00,-4.52E+00
"07/04/2020 17:27:34,27203",3.52E+00,3.52E+00,-4.40E+00
"07/04/2020 17:27:34,35404",3.39E+00,3.64E+00,-4.78E+00
"07/04/2020 17:27:34,43604",3.64E+00,4.02E+00,-4.90E+00
"07/04/2020 17:27:34,51805",3.64E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:34,60006",3.39E+00,3.39E+00,-4.40E+00
"07/04/2020 17:27:34,68207",3.52E+00,3.77E+00,-4.90E+00
"07/04/2020 17:27:34,76408",3.77E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:34,84608",3.39E+00,3.64E+00,-4.27E+00
"07/04/2020 17:27:34,92809",3.27E+00,3.52E+00,-4.52E+00
"07/04/2020 17:27:35,01010",3.64E+00,4.02E+00,-4.90E+00
"07/04/2020 17:27:35,09211",3.52E+00,3.90E+00,-4.90E+00
"07/04/2020 17:27:35,17411",3.27E+00,3.52E+00,-4.27E+00
"07/04/2020 17:27:35,25612",3.39E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:35,33813",3.64E+00,4.15E+00,-4.90E+00
"07/04/2020 17:27:35,42014",3.77E+00,3.77E+00,-4.65E+00
"07/04/2020 17:27:35,50215",3.39E+00,3.52E+00,-4.40E+00
"07/04/2020 17:27:35,58415",3.39E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:35,66616",3.64E+00,4.15E+00,-4.90E+00
"07/04/2020 17:27:35,74817",3.52E+00,3.77E+00,-4.27E+00
"07/04/2020 17:27:35,83018",3.39E+00,3.52E+00,-4.52E+00
"07/04/2020 17:27:35,91218",3.64E+00,3.90E+00,-4.90E+00
"07/04/2020 17:27:35,99419",3.77E+00,4.02E+00,-4.65E+00
"07/04/2020 17:27:36,07620",3.52E+00,3.52E+00,-4.40E+00
"07/04/2020 17:27:36,15821",3.52E+00,3.77E+00,-4.78E+00
"07/04/2020 17:27:36,24022",3.77E+00,4.02E+00,-5.03E+00
"07/04/2020 17:27:36,32222",3.77E+00,3.77E+00,-4.52E+00
"07/04/2020 17:27:36,40423",3.52E+00,3.52E+00,-4.40E+00
"07/04/2020 17:27:36,48624",3.64E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:36,56825",3.77E+00,4.15E+00,-4.90E+00
"07/04/2020 17:27:36,65025",3.52E+00,3.52E+00,-4.40E+00
"07/04/2020 17:27:36,73226",3.39E+00,3.39E+00,-4.52E+00
"07/04/2020 17:27:36,81427",3.77E+00,3.90E+00,-4.90E+00
"07/04/2020 17:27:36,89628",3.77E+00,3.77E+00,-4.65E+00
"07/04/2020 17:27:36,97829",3.64E+00,3.77E+00,-4.40E+00
"07/04/2020 17:27:37,06029",3.52E+00,3.64E+00,-4.78E+00
"07/04/2020 17:27:37,14230",3.64E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:37,22431",3.77E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:37,30632",3.52E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:37,38832",3.64E+00,3.77E+00,-4.78E+00
"07/04/2020 17:27:37,47033",3.77E+00,4.02E+00,-4.78E+00
"07/04/2020 17:27:37,55234",3.64E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:37,63435",3.52E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:37,71636",3.77E+00,3.90E+00,-5.03E+00
"07/04/2020 17:27:37,79836",3.77E+00,4.02E+00,-4.78E+00
"07/04/2020 17:27:37,88037",3.52E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:37,96238",3.64E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:38,04439",3.64E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:38,12640",3.77E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:38,20840",3.77E+00,3.64E+00,-4.40E+00
"07/04/2020 17:27:38,29041",3.77E+00,3.77E+00,-4.78E+00
"07/04/2020 17:27:38,37242",3.90E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:38,45443",3.52E+00,3.64E+00,-4.52E+00
"07/04/2020 17:27:38,53643",3.77E+00,3.77E+00,-4.65E+00
"07/04/2020 17:27:38,61844",3.77E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:38,70045",3.77E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:38,78246",3.77E+00,3.90E+00,-4.65E+00
"07/04/2020 17:27:38,86447",3.52E+00,3.77E+00,-4.52E+00
"07/04/2020 17:27:38,94647",3.64E+00,3.90E+00,-4.90E+00
"07/04/2020 17:27:39,02848",3.90E+00,4.02E+00,-4.90E+00
"07/04/2020 17:27:39,11049",3.64E+00,3.64E+00,-4.65E+00
"07/04/2020 17:27:39,19250",3.64E+00,3.77E+00,-4.90E+00
"07/04/2020 17:27:39,27450",3.90E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:39,35651",3.90E+00,4.02E+00,-4.65E+00
"07/04/2020 17:27:39,43852",3.77E+00,3.90E+00,-4.78E+00
"07/04/2020 17:27:39,52053",3.77E+00,3.77E+00,-4.65E+00
"07/04/2020 17:27:39,60254",3.90E+00,4.02E+00,-4.78E+00
"07/04/2020 17:27:39,68454",3.90E+00,3.77E+00,-4.65E+00
"07/04/2020 17:27:39,76655",3.77E+00,3.77E+00,-4.90E+00
"07/04/2020 17:27:39,84856",3.90E+00,4.15E+00,-4.65E+00
"07/04/2020 17:27:39,93057",3.77E+00,3.64E+00,-4.65E+00
"07/04/2020 17:27:40,01257",3.90E+00,0.00E+00,-1.26E-01
"07/04/2020 17:27:40,09458",0.00E+00,0.00E+00,-2.51E-01
"07/04/2020 17:27:40,17659",-1.26E-01,0.00E+00,-1.26E-01
"07/04/2020 17:27:40,25860",0.00E+00,0.00E+00,-2.51E-01
"07/04/2020 17:27:40,34061",-1.26E-01,2.51E-01,-1.26E-01
"07/04/2020 17:27:40,42261",-2.51E-01,-2.51E-01,1.26E-01
"07/04/2020 17:27:40,50462",-1.26E-01,3.77E-01,-3.77E-01
"07/04/2020 17:27:40,58663",-1.26E-01,1.26E-01,0.00E+00
"07/04/2020 17:27:40,66864",0.00E+00,1.26E-01,0.00E+00
"07/04/2020 17:27:40,75064",-1.26E-01,2.51E-01,-1.26E-01
"07/04/2020 17:27:40,83265",1.26E-01,1.26E-01,-2.51E-01
"07/04/2020 17:27:40,91466",-1.26E-01,1.26E-01,-1.26E-01
"07/04/2020 17:27:40,99667",0.00E+00,1.26E-01,1.26E-01
"07/04/2020 17:27:41,07868",-1.26E-01,1.26E-01,-2.51E-01
"07/04/2020 17:27:41,16068",-1.26E-01,2.51E-01,-2.51E-01
"07/04/2020 17:27:41,24269",1.26E-01,1.26E-01,-1.26E-01
"07/04/2020 17:27:41,32470",0.00E+00,1.26E-01,-2.51E-01
"07/04/2020 17:27:41,40671",1.26E-01,1.26E-01,-1.26E-01
"07/04/2020 17:27:41,48871",0.00E+00,1.26E-01,0.00E+00
"07/04/2020 17:27:41,57072",0.00E+00,1.26E-01,0.00E+00
"07/04/2020 17:27:41,65273",1.26E-01,1.26E-01,-1.26E-01
"07/04/2020 17:27:41,73474",0.00E+00,1.26E-01,-1.26E-01
"07/04/2020 17:27:41,81675",0.00E+00,2.51E-01,-2.51E-01
"07/04/2020 17:27:41,89875",0.00E+00,-1.26E-01,-1.26E-01
"07/04/2020 17:27:41,98076",1.26E-01,1.26E-01,-1.26E-01
"07/04/2020 17:27:42,06277",2.51E-01,1.26E-01,0.00E+00
"07/04/2020 17:27:42,14478",-1.26E-01,0.00E+00,1.26E-01
"07/04/2020 17:27:42,22678",0.00E+00,1.26E-01,-1.26E-01
"07/04/2020 17:27:42,30879",1.26E-01,0.00E+00,1.26E-01
"07/04/2020 17:27:42,39080",1.26E-01,1.26E-01,-2.51E-01
"07/04/2020 17:27:42,47281",0.00E+00,-1.26E-01,0.00E+00
"07/04/2020 17:27:42,55482",0.00E+00,0.00E+00,-1.26E-01
"07/04/2020 17:27:42,63682",1.26E-01,2.51E-01,-3.77E-01
"07/04/2020 17:27:42,71883",2.51E-01,3.77E-01,-2.51E-01
"07/04/2020 17:27:42,80084",1.26E-01,1.26E-01,-1.26E-01
"07/04/2020 17:27:42,88285",1.26E-01,3.77E-01,-3.77E-01
