waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.08164,0.08164,0.08164
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 17:05:07.15167,-1.26E-01,1.01E+00,-1.13E+00
24/03/2020 17:05:07.23331,-3.77E-01,-1.26E-01,-2.51E-01
24/03/2020 17:05:07.31495,-5.03E-01,1.26E-01,-7.54E-01
24/03/2020 17:05:07.39659,-1.26E-01,8.80E-01,-1.26E+00
24/03/2020 17:05:07.47823,-2.51E-01,5.03E-01,-6.28E-01
24/03/2020 17:05:07.55987,-5.03E-01,0.00E+00,-5.03E-01
24/03/2020 17:05:07.64151,-3.77E-01,3.77E-01,-8.80E-01
24/03/2020 17:05:07.72315,-1.26E-01,7.54E-01,-1.01E+00
24/03/2020 17:05:07.80480,-2.51E-01,3.77E-01,-6.28E-01
24/03/2020 17:05:07.88644,-3.77E-01,1.26E-01,-7.54E-01
24/03/2020 17:05:07.96808,-2.51E-01,3.77E-01,-1.01E+00
24/03/2020 17:05:08.04972,-1.26E-01,6.28E-01,-8.80E-01
24/03/2020 17:05:08.13136,-2.51E-01,2.51E-01,-6.28E-01
24/03/2020 17:05:08.21300,-3.77E-01,2.51E-01,-6.28E-01
24/03/2020 17:05:08.29464,-1.26E-01,3.77E-01,-7.54E-01
24/03/2020 17:05:08.37628,0.00E+00,5.03E-01,-1.01E+00
24/03/2020 17:05:08.45792,1.26E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:08.53956,-3.77E-01,2.51E-01,-7.54E-01
24/03/2020 17:05:08.62120,-3.77E-01,5.03E-01,-6.28E-01
24/03/2020 17:05:08.70284,-3.77E-01,3.77E-01,-8.80E-01
24/03/2020 17:05:08.78448,-1.26E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:08.86612,-1.26E-01,3.77E-01,-6.28E-01
24/03/2020 17:05:08.94776,-2.51E-01,5.03E-01,-6.28E-01
24/03/2020 17:05:09.02940,-2.51E-01,5.03E-01,-8.80E-01
24/03/2020 17:05:09.11104,-2.51E-01,6.28E-01,-1.01E+00
24/03/2020 17:05:09.19268,-1.26E-01,3.77E-01,-7.54E-01
24/03/2020 17:05:09.27432,-2.51E-01,2.51E-01,-7.54E-01
24/03/2020 17:05:09.35596,-1.26E-01,6.28E-01,-1.01E+00
24/03/2020 17:05:09.43761,0.00E+00,6.28E-01,-8.80E-01
24/03/2020 17:05:09.51925,-3.77E-01,2.51E-01,-3.77E-01
24/03/2020 17:05:09.60089,-5.03E-01,3.77E-01,-6.28E-01
24/03/2020 17:05:09.68253,-2.51E-01,7.54E-01,-1.01E+00
24/03/2020 17:05:09.76417,-2.51E-01,5.03E-01,-7.54E-01
24/03/2020 17:05:09.84581,-5.03E-01,3.77E-01,-5.03E-01
24/03/2020 17:05:09.92745,-3.77E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:10.00909,-1.26E-01,5.03E-01,-8.80E-01
24/03/2020 17:05:10.09073,-2.51E-01,3.77E-01,-8.80E-01
24/03/2020 17:05:10.17237,-2.51E-01,5.03E-01,-8.80E-01
24/03/2020 17:05:10.25401,-2.51E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:10.33565,-1.26E-01,5.03E-01,-8.80E-01
24/03/2020 17:05:10.41729,-3.77E-01,2.51E-01,-7.54E-01
24/03/2020 17:05:10.49893,-3.77E-01,2.51E-01,-8.80E-01
24/03/2020 17:05:10.58057,-2.51E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:10.66221,-2.51E-01,3.77E-01,-7.54E-01
24/03/2020 17:05:10.74385,-2.51E-01,3.77E-01,-7.54E-01
24/03/2020 17:05:10.82549,-1.26E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:10.90713,-1.26E-01,3.77E-01,-8.80E-01
24/03/2020 17:05:10.98877,-1.26E-01,3.77E-01,-7.54E-01
24/03/2020 17:05:11.07041,-3.77E-01,1.26E-01,-8.80E-01
24/03/2020 17:05:11.15206,-2.51E-01,2.51E-01,-1.01E+00
24/03/2020 17:05:11.23370,-2.51E-01,3.77E-01,-7.54E-01
24/03/2020 17:05:11.31534,-1.26E-01,2.51E-01,-7.54E-01
24/03/2020 17:05:11.39698,-3.77E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:11.47862,-2.51E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:11.56026,-2.51E-01,1.26E-01,-7.54E-01
24/03/2020 17:05:11.64190,-3.77E-01,2.51E-01,-8.80E-01
24/03/2020 17:05:11.72354,-3.77E-01,3.77E-01,-1.13E+00
24/03/2020 17:05:11.80518,-2.51E-01,5.03E-01,-1.01E+00
24/03/2020 17:05:11.88682,-2.51E-01,3.77E-01,-8.80E-01
24/03/2020 17:05:11.96846,-2.51E-01,2.51E-01,-7.54E-01
24/03/2020 17:05:12.05010,0.00E+00,2.51E-01,-8.80E-01
24/03/2020 17:05:12.13174,0.00E+00,5.03E-01,-1.01E+00
24/03/2020 17:05:12.21338,-1.26E-01,1.26E-01,-6.28E-01
24/03/2020 17:05:12.29502,-2.51E-01,1.26E-01,-1.01E+00
24/03/2020 17:05:12.37666,-2.51E-01,5.03E-01,-1.13E+00
24/03/2020 17:05:12.45830,0.00E+00,3.77E-01,-1.01E+00
24/03/2020 17:05:12.53994,-1.26E-01,1.26E-01,-5.03E-01
24/03/2020 17:05:12.62158,-1.26E-01,2.51E-01,-1.01E+00
24/03/2020 17:05:12.70322,0.00E+00,8.80E-01,-1.13E+00
24/03/2020 17:05:12.78487,8.80E-01,7.54E-01,-7.54E-01
24/03/2020 17:05:12.86651,-6.28E-01,6.28E-01,-6.28E-01
24/03/2020 17:05:12.94815,-3.77E-01,1.88E+00,-2.26E+00
24/03/2020 17:05:13.02979,-1.26E-01,-7.54E-01,7.54E-01
24/03/2020 17:05:13.11143,-1.13E+00,-1.63E+00,-3.77E-01
24/03/2020 17:05:13.19307,1.26E+00,1.88E+00,-2.89E+00
24/03/2020 17:05:13.27471,1.01E+00,1.88E+00,-1.38E+00
24/03/2020 17:05:13.35635,-1.01E+00,-8.80E-01,1.01E+00
24/03/2020 17:05:13.43799,-1.51E+00,-1.01E+00,-5.03E-01
24/03/2020 17:05:13.51963,1.01E+00,2.26E+00,-3.14E+00
24/03/2020 17:05:13.60127,1.26E+00,1.01E+00,-5.03E-01
24/03/2020 17:05:13.68291,-8.80E-01,-1.38E+00,8.80E-01
24/03/2020 17:05:13.76455,-3.77E-01,3.77E-01,-1.76E+00
24/03/2020 17:05:13.84619,8.80E-01,2.26E+00,-2.51E+00
24/03/2020 17:05:13.92783,2.51E-01,1.26E-01,3.77E-01
24/03/2020 17:05:14.00947,-1.01E+00,-1.13E+00,2.51E-01
24/03/2020 17:05:14.09111,3.77E-01,1.26E+00,-2.39E+00
24/03/2020 17:05:14.17275,8.80E-01,1.63E+00,-1.38E+00
24/03/2020 17:05:14.25439,-3.77E-01,-5.03E-01,6.28E-01
24/03/2020 17:05:14.33603,-8.80E-01,-3.77E-01,-7.54E-01
24/03/2020 17:05:14.41768,7.54E-01,1.63E+00,-2.39E+00
24/03/2020 17:05:14.49932,3.77E-01,6.28E-01,-3.77E-01
